date,state,count,amount,registeredUsers,date_id
2020-03-01,28,204902935,467084130584.9057,15692405,790
2020-03-01,29,300360531,470740515696.6819,20487550,790
2020-03-01,30,1915531,3368343580.944658,474962,790
2020-03-01,31,8589,21306833.308656827,3644,790
2020-03-01,32,21758680,40164150651.95425,5582300,790
2020-03-01,33,70277825,143841415498.66348,13643451,790
2020-03-01,34,1730902,3598080229.434601,285173,790
2020-03-01,35,117483,338019446.3303603,41335,790
2020-04-01,0,343643787,696350439226.9595,15927797,821
2020-04-01,1,6086578,16492869273.886152,1143875,821
2020-04-01,2,7272328,13989053108.812904,1508766,821
2020-04-01,3,22997925,53775406479.55512,5157868,821
2020-04-01,4,2912716,6146762901.349346,391402,821
2020-04-01,5,17613271,31792739329.110336,2596244,821
2020-04-01,6,83171439,159998504366.54138,9129873,821
2020-04-01,7,120540417,216265088224.5436,9747968,821
2020-04-01,8,190283435,386034779836.5074,16329494,821
2020-04-01,9,178167517,357428826778.2672,27249134,821
2020-04-01,10,96591673,238905613136.4728,12889833,821
2020-04-01,11,735035,1919275805.122924,148543,821
2020-04-01,12,1209129,3570264021.845623,231292,821
2020-04-01,13,847825,2773084870.5626874,192188,821
2020-04-01,14,1627852,5602224558.458755,288772,821
2020-04-01,15,322607,986522115.6939588,78731,821
2020-04-01,16,1651890,3182130996.2213125,409110,821
2020-04-01,17,754008,1804242572.1989727,176447,821
2020-04-01,18,15423454,40226611319.264206,3106153,821
2020-04-01,19,100340645,199165491365.64862,15662093,821
2020-04-01,20,39431633,72805174830.04353,4917938,821
2020-04-01,21,92324950,178302663014.6162,8598751,821
2020-04-01,22,35529636,62214974283.94868,4190601,821
2020-04-01,23,153652541,284275139772.3701,13737947,821
2020-04-01,24,77828547,148393060112.43903,13605203,821
2020-04-01,25,1817791,2700511100.8285036,296493,821
2020-04-01,27,407621004,622155530832.3054,34432631,821
2020-04-01,28,286118552,654841546033.3298,17076565,821
2020-04-01,29,431536984,658036698565.0182,22400182,821
2020-04-01,30,3801381,6899792747.579937,527584,821
2020-04-01,31,11650,30111317.91708039,4179,821
2020-04-01,32,33288187,56755256647.01133,6387169,821
2020-04-01,33,111179701,206473197500.99323,15357586,821
2020-04-01,34,2716003,4930526217.671211,319626,821
2020-04-01,35,224531,627282656.3148527,52396,821
2021-01-01,0,412572110,799359264046.5912,17149069,1096
2021-01-01,1,7272985,18121769706.398594,1244737,1096
2021-01-01,2,7614029,14120546909.487509,1622951,1096
2021-01-01,3,26770835,58690887091.10675,5568777,1096
2021-01-01,4,3970237,7596420859.545994,419998,1096
2021-01-01,5,20608402,36288189399.898415,2802122,1096
2021-01-01,6,90252784,168938301082.42853,9827905,1096
2021-01-01,7,157359004,266928345043.4927,10467210,1096
2021-01-01,8,252730919,491492581657.6465,17661088,1096
2021-01-01,9,204499547,396287587577.56683,29482075,1096
2021-01-01,10,114932477,280973649701.22784,13946288,1096
2021-01-01,11,800189,2217667726.8407245,160213,1096
2021-01-01,12,1177456,3813779079.016643,251240,1096
2021-01-01,13,975897,3107450484.6131907,207808,1096
2021-01-01,14,2303535,7070287514.479234,312668,1096
2021-01-01,15,329575,1101105586.9459372,85750,1096
2021-01-01,16,1511423,3335341569.7934203,439636,1096
2021-01-01,17,747646,2055515277.9898343,190869,1096
2021-01-01,18,19512060,51326464546.12252,3358448,1096
2021-01-01,19,118254052,242937207475.52222,16808799,1096
2021-01-01,20,44621663,83749353123.1398,5313049,1096
2021-01-01,21,111460358,213397736188.34167,9233009,1096
2021-01-01,22,39436437,69409843261.55185,4514551,1096
2021-01-01,23,201998498,343533954382.2885,14839427,1096
2021-01-01,24,94774565,183700780713.45123,14670126,1096
2021-01-01,25,1925244,2965632911.1935043,321396,1096
2021-01-01,27,517860240,769887352153.2488,37077537,1096
2021-01-01,28,289747970,672444670176.6158,18363733,1096
2021-01-01,29,523797492,754995357412.3923,24095832,1096
2021-01-01,30,5331549,9757242879.021412,570035,1096
2021-01-01,31,9085,27042782.914081153,4577,1096
2021-01-01,32,42316342,69260970161.89473,6936943,1096
2021-01-01,33,136556674,248668143873.65158,16632608,1096
2021-01-01,34,3309432,5899309571.743645,346279,1096
